features;accuracy;timeTraining;timeTesting
3620;65.9375;0.17070627212524414;0.055818796157836914
3630;65.9375;0.1682875156402588;0.055785179138183594
3640;65.9375;0.1698148250579834;0.055991411209106445
3650;65.9375;0.17121362686157227;0.054976463317871094
3660;65.9375;0.17456293106079102;0.05658364295959473
3670;65.9375;0.1696488857269287;0.05564689636230469
3680;65.9375;0.16946816444396973;0.05625605583190918
3690;65.9375;0.1701650619506836;0.05543398857116699
3700;65.9375;0.16992664337158203;0.056378841400146484
3710;65.9375;0.1689777374267578;0.05560922622680664
3720;65.9375;0.1698305606842041;0.05596423149108887
3730;65.9375;0.16867399215698242;0.05804324150085449
3740;65.9375;0.17094969749450684;0.059058427810668945
3750;65.9375;0.16903090476989746;0.057814598083496094
3760;65.9375;0.18738007545471191;0.05611228942871094
3770;65.9375;0.16921234130859375;0.05680441856384277
3780;65.9375;0.17647957801818848;0.05683255195617676
3790;65.9375;0.18097996711730957;0.05588841438293457
3800;65.9375;0.170212984085083;0.0561826229095459
3810;65.9375;0.16930365562438965;0.05701303482055664
3820;65.9375;0.16992831230163574;0.05628013610839844
3830;65.9375;0.17042207717895508;0.055251359939575195
3840;65.9375;0.17021942138671875;0.05703997611999512
3850;65.9375;0.17048907279968262;0.057167768478393555
3860;65.9375;0.17126750946044922;0.055891990661621094
3870;65.9375;0.16912007331848145;0.055814266204833984
3880;65.9375;0.17108774185180664;0.05610322952270508
3890;65.9375;0.17056488990783691;0.05637478828430176
3900;65.9375;0.17179584503173828;0.05626368522644043
3910;65.9375;0.1915285587310791;0.05638384819030762
3920;65.9375;0.17078685760498047;0.05728912353515625
3930;65.9375;0.17358064651489258;0.05943775177001953
3940;65.9375;0.16881608963012695;0.056821584701538086
3950;65.9375;0.17297124862670898;0.05711936950683594
3960;65.9375;0.16968727111816406;0.056536197662353516
3970;66.25;0.17242026329040527;0.05561494827270508
3980;66.25;0.17101836204528809;0.056622982025146484
3990;65.9375;0.1702427864074707;0.05676674842834473
4000;65.9375;0.17118453979492188;0.057188987731933594
4010;65.625;0.1728358268737793;0.05707263946533203
4020;65.625;0.1715540885925293;0.05619406700134277
4030;65.625;0.17283248901367188;0.05749011039733887
4040;65.625;0.17140436172485352;0.057161808013916016
4050;65.625;0.17265582084655762;0.056969404220581055
4060;65.625;0.1905651092529297;0.05605912208557129
4070;65.625;0.17695283889770508;0.05831265449523926
4080;65.625;0.17075705528259277;0.056200265884399414
4090;65.625;0.17307329177856445;0.05601644515991211
4100;65.625;0.171875;0.05619072914123535
4110;65.625;0.17314743995666504;0.05661463737487793
4120;65.625;0.17131471633911133;0.056884765625
4130;65.625;0.17377686500549316;0.0574188232421875
4140;65.625;0.17084765434265137;0.05727076530456543
4150;65.625;0.1713712215423584;0.05662679672241211
4160;65.625;0.1726667881011963;0.057589054107666016
4170;65.625;0.17335081100463867;0.057753562927246094
4180;65.625;0.17231535911560059;0.05770134925842285
4190;65.625;0.1723630428314209;0.05669736862182617
4200;65.9375;0.17325735092163086;0.057308197021484375
4210;65.9375;0.18975138664245605;0.05753612518310547
4220;65.9375;0.1722705364227295;0.05684375762939453
4230;65.9375;0.17641973495483398;0.05780673027038574
4240;65.9375;0.1735978126525879;0.05696892738342285
4250;65.9375;0.1733551025390625;0.058576107025146484
4260;65.9375;0.17352724075317383;0.05844736099243164
4270;65.9375;0.17092227935791016;0.05745220184326172
4280;65.9375;0.17278003692626953;0.057816505432128906
4290;65.9375;0.1754608154296875;0.058409929275512695
4300;65.9375;0.17461204528808594;0.05791735649108887
4310;65.9375;0.17424964904785156;0.05835843086242676
4320;65.9375;0.1744692325592041;0.058522939682006836
4330;65.9375;0.1726539134979248;0.05819439888000488
4340;65.9375;0.17574524879455566;0.0575404167175293
4350;66.25;0.1767578125;0.05771994590759277
4360;66.25;0.1916341781616211;0.0567624568939209
4370;66.25;0.17395401000976562;0.05767035484313965
4380;66.25;0.17535185813903809;0.0575716495513916
4390;66.25;0.17419195175170898;0.05699944496154785
4400;66.25;0.1745166778564453;0.05660390853881836
4410;66.25;0.17342638969421387;0.05687427520751953
4420;66.25;0.17548680305480957;0.05728578567504883
4430;66.25;0.1779322624206543;0.05820941925048828
4440;66.25;0.17466378211975098;0.05752849578857422
4450;66.25;0.17582368850708008;0.05795454978942871
4460;66.25;0.1735687255859375;0.058298349380493164
4470;66.25;0.17599749565124512;0.0579686164855957
4480;66.25;0.17581868171691895;0.05756831169128418
4490;66.25;0.1773698329925537;0.05945920944213867
4500;66.25;0.17695307731628418;0.05760693550109863
4510;66.25;0.19656848907470703;0.061387062072753906
4520;66.25;0.17656612396240234;0.057936906814575195
4530;66.25;0.17586207389831543;0.05719399452209473
4540;66.25;0.17753863334655762;0.05839896202087402
4550;66.25;0.17566514015197754;0.05798053741455078
4560;66.25;0.17534923553466797;0.05749797821044922
4570;66.25;0.17704176902770996;0.05702042579650879
4580;66.25;0.17755460739135742;0.058908939361572266
4590;66.25;0.1792745590209961;0.05815577507019043
4600;66.25;0.1775827407836914;0.058069467544555664
4610;66.25;0.17754459381103516;0.05815482139587402
4620;66.25;0.17507410049438477;0.058365583419799805
4630;66.25;0.17823147773742676;0.058365821838378906
4640;66.25;0.17957639694213867;0.05751609802246094
4650;66.25;0.17945265769958496;0.06007552146911621
4660;66.25;0.19843363761901855;0.06090521812438965
4670;66.25;0.17733979225158691;0.061371803283691406
4680;66.25;0.17826485633850098;0.05921792984008789
4690;66.25;0.17802691459655762;0.05994677543640137
4700;66.25;0.17875289916992188;0.058824777603149414
4710;66.25;0.17961907386779785;0.059830427169799805
4720;66.25;0.17797160148620605;0.05826139450073242
4730;66.25;0.1773383617401123;0.05883502960205078
4740;66.5625;0.17831945419311523;0.05830812454223633
4750;66.25;0.17934560775756836;0.058757781982421875
4760;66.5625;0.1786046028137207;0.0574493408203125
4770;66.5625;0.1784806251525879;0.05779528617858887
4780;66.5625;0.17802119255065918;0.059006690979003906
4790;65.9375;0.18037676811218262;0.05917835235595703
4800;65.9375;0.18094301223754883;0.060683250427246094
4810;65.9375;0.20079565048217773;0.05945086479187012
4820;65.9375;0.17862319946289062;0.059508562088012695
4830;66.25;0.17564105987548828;0.058234214782714844
4840;66.25;0.17896127700805664;0.0594024658203125
4850;66.25;0.18008732795715332;0.05902719497680664
4860;66.25;0.17760848999023438;0.05866551399230957
4870;66.25;0.17805171012878418;0.058266639709472656
4880;66.25;0.18081259727478027;0.058281660079956055
4890;66.25;0.17930388450622559;0.05849599838256836
4900;66.25;0.1772470474243164;0.05884695053100586
4910;66.25;0.17850828170776367;0.05915379524230957
4920;66.25;0.17888593673706055;0.05917477607727051
4930;66.25;0.17841029167175293;0.0580744743347168
4940;66.25;0.17930316925048828;0.0590360164642334
4950;66.25;0.17873573303222656;0.05947375297546387
4960;66.25;0.20026731491088867;0.05954098701477051
4970;66.25;0.18171238899230957;0.05997037887573242
4980;66.25;0.18351364135742188;0.06089591979980469
4990;66.25;0.18135619163513184;0.06018400192260742
5000;66.25;0.1812276840209961;0.059856414794921875
5010;66.25;0.18244004249572754;0.06333184242248535
5020;66.25;0.18160486221313477;0.05892372131347656
5030;66.25;0.1810016632080078;0.060504913330078125
5040;66.25;0.18070220947265625;0.05977058410644531
5050;66.25;0.18058514595031738;0.06137394905090332
5060;66.25;0.18079352378845215;0.06017947196960449
5070;66.25;0.18074846267700195;0.05975747108459473
5080;66.25;0.1815793514251709;0.06129193305969238
5090;66.25;0.18217086791992188;0.059850454330444336
5100;66.25;0.1813054084777832;0.061174869537353516
5110;66.25;0.20291662216186523;0.06206202507019043
5120;66.25;0.1870729923248291;0.06245541572570801
5130;66.25;0.1813051700592041;0.06161761283874512
5140;66.25;0.18294692039489746;0.06033587455749512
5150;66.25;0.18173933029174805;0.06260824203491211
5160;66.25;0.18210935592651367;0.06171131134033203
5170;66.5625;0.1830744743347168;0.06039619445800781
5180;66.5625;0.18128728866577148;0.06100726127624512
5190;66.5625;0.18056464195251465;0.06057620048522949
5200;66.5625;0.1840190887451172;0.060877084732055664
5210;66.5625;0.19165420532226562;0.06198883056640625
5220;66.5625;0.18226218223571777;0.0605928897857666
5230;66.5625;0.18444085121154785;0.06117582321166992
5240;66.5625;0.182173490524292;0.06073427200317383
5250;66.5625;0.18355250358581543;0.059943199157714844
5260;66.5625;0.2029874324798584;0.061228275299072266
5270;66.5625;0.18367671966552734;0.06146097183227539
5280;66.5625;0.18248915672302246;0.060373544692993164
5290;66.5625;0.18328452110290527;0.06009244918823242
5300;66.5625;0.18335509300231934;0.06095266342163086
5310;66.5625;0.18262338638305664;0.06076526641845703
5320;66.5625;0.18735337257385254;0.060285329818725586
5330;66.5625;0.18396902084350586;0.06254076957702637
5340;66.5625;0.18381762504577637;0.06054830551147461
5350;66.5625;0.18244361877441406;0.06018877029418945
5360;66.5625;0.18299531936645508;0.05993461608886719
5370;66.5625;0.18168926239013672;0.060482025146484375
5380;66.5625;0.18348979949951172;0.06153583526611328
5390;66.5625;0.18481683731079102;0.061074018478393555
5400;66.5625;0.18734097480773926;0.06011056900024414
5410;66.5625;0.20267748832702637;0.06160569190979004
5420;66.5625;0.18315839767456055;0.06137847900390625
5430;66.5625;0.18379688262939453;0.0610506534576416
